Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
liverpool_smokesuit,Chrome 115.0.0.0,,,2023-08-11 07:43:39,2023-08-11 10:19:17,2h - 35m - 38.014s,ERROR
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_016,Chrome 115.0.0.0,To Verify logged in user is able to view the profile inforamtion from Actualizar datos personales link in my account page after Updating personal information,,2023-08-11 07:43:39,2023-08-11 07:45:38,1m - 59.180s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-11 07:43:40,2023-08-11 07:43:43,3.109s,PASSED
navigateToUrl(LiverpoolURL),Chrome 115.0.0.0,,,2023-08-11 07:43:43,2023-08-11 07:44:42,59.486s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-11 07:44:42,2023-08-11 07:44:43,0.257s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-11 07:44:43,2023-08-11 07:44:44,0.965s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 07:44:44,2023-08-11 07:45:12,28.626s,PASSED
"mouseOver(findTestObject(""HomePage/AfterLogin_Homepage""))",Chrome 115.0.0.0,,,2023-08-11 07:45:12,2023-08-11 07:45:28,15.857s,PASSED
"click(findTestObject(""AccountManagement/MyAccountButton_Account""))",Chrome 115.0.0.0,,,2023-08-11 07:45:28,2023-08-11 07:45:29,0.553s,PASSED
"click(findTestObject(""AccountManagement/UpdatePeronalData_Account""))",Chrome 115.0.0.0,,,2023-08-11 07:45:29,2023-08-11 07:45:35,6.529s,PASSED
"verifyElementPresent(findTestObject(""AccountManagement/updatePage_Account""), 0)",Chrome 115.0.0.0,,,2023-08-11 07:45:35,2023-08-11 07:45:38,2.942s,PASSED
name = customkeywords.myKeywords.randomString(),Chrome 115.0.0.0,,,2023-08-11 07:45:38,2023-08-11 07:45:38,0.063s,PASSED
"setText(findTestObject(""AccountManagement/UpdatePeronalData_Account""), name)",Chrome 115.0.0.0,,,2023-08-11 07:45:38,2023-08-11 07:45:38,0.260s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_017,Chrome 115.0.0.0,Verify the user able to add new Personal shipping address,,2023-08-11 07:45:39,2023-08-11 07:47:53,2m - 14.364s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-11 07:45:39,2023-08-11 07:45:41,2.245s,PASSED
navigateToUrl(LiverpoolURL),Chrome 115.0.0.0,,,2023-08-11 07:45:41,2023-08-11 07:46:40,58.659s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-11 07:46:40,2023-08-11 07:46:40,0.267s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-11 07:46:40,2023-08-11 07:46:41,0.942s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 07:46:41,2023-08-11 07:47:10,28.782s,PASSED
"mouseOver(findTestObject(""HomePage/AfterLogin_Homepage""))",Chrome 115.0.0.0,,,2023-08-11 07:47:10,2023-08-11 07:47:42,32.639s,PASSED
"click(findTestObject(""AccountManagement/MyAccountButton_Account""))",Chrome 115.0.0.0,,,2023-08-11 07:47:42,2023-08-11 07:47:43,0.686s,PASSED
"click(findTestObject(""AccountManagement/DeliveryAddress_Account""))",Chrome 115.0.0.0,,,2023-08-11 07:47:43,2023-08-11 07:47:53,9.641s,PASSED
"click(findTestObject(""Checkout/AddAddressButtonPopup_checkout""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-11 07:47:53,2023-08-11 07:47:53,0.152s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_018,Chrome 115.0.0.0,Verify the user able to add new Click & Collect address address,,2023-08-11 07:47:53,2023-08-11 07:50:22,2m - 29.096s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-11 07:47:53,2023-08-11 07:47:55,2.150s,PASSED
navigateToUrl(LiverpoolURL),Chrome 115.0.0.0,,,2023-08-11 07:47:55,2023-08-11 07:48:47,51.399s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-11 07:48:47,2023-08-11 07:48:47,0.214s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-11 07:48:47,2023-08-11 07:48:48,0.562s,PASSED
