Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
browserAndShop,Chrome 115.0.0.0,,,2023-08-15 23:13:36,2023-08-15 23:39:39,26m - 2.536s,FAILED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_039,Chrome 115.0.0.0,To verify that the breadcrumbs are clickable when user has landed on L1 category page.,,2023-08-15 23:13:36,2023-08-15 23:15:04,1m - 27.378s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-15 23:13:37,2023-08-15 23:13:41,4.319s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-15 23:13:41,2023-08-15 23:14:32,50.572s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-15 23:14:32,2023-08-15 23:14:32,0.192s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-15 23:14:32,2023-08-15 23:15:04,31.615s,FAILED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_047,Chrome 115.0.0.0,To verify the display of facets on the item listing page,,2023-08-15 23:15:04,2023-08-15 23:16:29,1m - 25.360s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-15 23:15:05,2023-08-15 23:15:07,2.288s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-15 23:15:07,2023-08-15 23:16:07,1m - 0.124s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-15 23:16:07,2023-08-15 23:16:07,0.310s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-15 23:16:07,2023-08-15 23:16:08,1.061s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-15 23:16:08,2023-08-15 23:16:09,0.696s,PASSED
"click(findTestObject(""CLPPage/SubCategory2_leftmenu_CLP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-15 23:16:09,2023-08-15 23:16:18,8.982s,PASSED
