Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkout,Chrome 115.0.0.0,,,2023-08-16 17:08:38,2023-08-16 17:29:09,20m - 30.816s,FAILED
,,,,,,,
Test Cases/Checkout/TS_SMOKE_SUITE_077,Chrome 115.0.0.0,To verify the functionality of new  adding card  in checkout flow for logged in user,,2023-08-16 17:08:38,2023-08-16 17:12:20,3m - 41.662s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-16 17:08:39,2023-08-16 17:08:42,3.637s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-16 17:08:42,2023-08-16 17:09:44,1m - 1.546s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-16 17:09:44,2023-08-16 17:09:44,0.294s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-16 17:09:44,2023-08-16 17:09:45,0.999s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":Username, ""password"":Password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:09:45,2023-08-16 17:10:24,38.396s,PASSED
"callTestCase(findTestCase(""CommonMethods/EmptyCart_RunAt_HP""), [:], OPTIONAL)",Chrome 115.0.0.0,,,2023-08-16 17:10:24,2023-08-16 17:11:11,47.418s,PASSED
"click(findTestObject(""HomePage/Logo_hp""))",Chrome 115.0.0.0,,,2023-08-16 17:11:11,2023-08-16 17:11:12,0.591s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SLProduct], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:11:12,2023-08-16 17:11:21,8.952s,PASSED
"click(findTestObject(""PLPPage/product1_PLP""), OPTIONAL)",Chrome 115.0.0.0,,,2023-08-16 17:11:21,2023-08-16 17:11:38,17.184s,PASSED
"click(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 115.0.0.0,,,2023-08-16 17:11:38,2023-08-16 17:11:48,10.706s,PASSED
"click(findTestObject(""HomePage/bag_header_HP""))",Chrome 115.0.0.0,,,2023-08-16 17:11:48,2023-08-16 17:11:52,3.825s,PASSED
"click(findTestObject(""CartPage/BuyButton_Cart""))",Chrome 115.0.0.0,,,2023-08-16 17:11:52,2023-08-16 17:11:54,2.008s,PASSED
"callTestCase(findTestCase(""CommonMethods/create_new_CARD_OPC""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:11:54,2023-08-16 17:12:20,25.533s,FAILED
,,,,,,,
Test Cases/Checkout/TS_SMOKE_SUITE_078,Chrome 115.0.0.0,To verify the display of Order confirmation page for logged in user,,2023-08-16 17:12:20,2023-08-16 17:15:47,3m - 27.073s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-16 17:12:20,2023-08-16 17:12:23,2.846s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-16 17:12:23,2023-08-16 17:13:10,46.286s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-16 17:13:10,2023-08-16 17:13:10,0.304s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-16 17:13:10,2023-08-16 17:13:11,1.089s,PASSED
"callTestCase(findTestCase(""CommonMethods/login_odtaqab""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:13:11,2023-08-16 17:14:02,50.924s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SLProduct], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:14:02,2023-08-16 17:14:49,47.542s,PASSED
"click(findTestObject(""PLPPage/product2_cardPrice_PLP""))",Chrome 115.0.0.0,,,2023-08-16 17:14:49,2023-08-16 17:15:13,23.686s,PASSED
"click(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 115.0.0.0,,,2023-08-16 17:15:13,2023-08-16 17:15:26,13.329s,PASSED
"click(findTestObject(""HomePage/bag_header_HP""))",Chrome 115.0.0.0,,,2023-08-16 17:15:26,2023-08-16 17:15:29,3.082s,PASSED
"click(findTestObject(""CartPage/BuyButton_Cart""))",Chrome 115.0.0.0,,,2023-08-16 17:15:29,2023-08-16 17:15:32,2.940s,PASSED
"click(findTestObject(""OPCPage/paymentMethod_change_OPC""))",Chrome 115.0.0.0,,,2023-08-16 17:15:32,2023-08-16 17:15:40,7.667s,PASSED
"click(findTestObject(""OPCPage/paymentMethod_button3_OPC""))",Chrome 115.0.0.0,,,2023-08-16 17:15:40,2023-08-16 17:15:42,1.806s,PASSED
"click(findTestObject(""OPCPage/Continue_payment_3rdmethod_OPC""))",Chrome 115.0.0.0,,,2023-08-16 17:15:42,2023-08-16 17:15:43,1.565s,PASSED
"click(findTestObject(""OPCPage/Final_comparar_OPC""))",Chrome 115.0.0.0,,,2023-08-16 17:15:43,2023-08-16 17:15:46,2.481s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-16 17:15:46,2023-08-16 17:15:47,0.930s,PASSED
,,,,,,,
Test Cases/Checkout/TS_SMOKE_SUITE_082,Chrome 115.0.0.0,To verify the functionality of   editing the card  in checkout flow for loggedin user,,2023-08-16 17:15:47,2023-08-16 17:19:37,3m - 49.639s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-16 17:15:47,2023-08-16 17:15:49,1.650s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-16 17:15:49,2023-08-16 17:17:07,1m - 17.688s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-16 17:17:07,2023-08-16 17:17:07,0.315s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-16 17:17:07,2023-08-16 17:17:08,0.960s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":Username, ""password"":Password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:17:08,2023-08-16 17:17:42,34.173s,PASSED
"callTestCase(findTestCase(""CommonMethods/EmptyCart_RunAt_HP""), [:], OPTIONAL)",Chrome 115.0.0.0,,,2023-08-16 17:17:42,2023-08-16 17:18:18,35.457s,PASSED
"click(findTestObject(""HomePage/Logo_hp""))",Chrome 115.0.0.0,,,2023-08-16 17:18:18,2023-08-16 17:18:19,1.396s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SLProduct], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:18:19,2023-08-16 17:18:28,9.121s,PASSED
"click(findTestObject(""PLPPage/product1_PLP""), OPTIONAL)",Chrome 115.0.0.0,,,2023-08-16 17:18:28,2023-08-16 17:18:44,15.574s,PASSED
"click(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 115.0.0.0,,,2023-08-16 17:18:44,2023-08-16 17:19:02,18.188s,PASSED
"click(findTestObject(""HomePage/bag_header_HP""))",Chrome 115.0.0.0,,,2023-08-16 17:19:02,2023-08-16 17:19:05,3.266s,PASSED
"click(findTestObject(""CartPage/BuyButton_Cart""))",Chrome 115.0.0.0,,,2023-08-16 17:19:05,2023-08-16 17:19:37,31.442s,FAILED
,,,,,,,
Test Cases/Checkout/TS_SMOKE_SUITE_086,Chrome 115.0.0.0,To verify the functionality of adding a new Personal shipping address in OPC flow for logged in user,,2023-08-16 17:19:37,2023-08-16 17:21:53,2m - 16.812s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-16 17:19:37,2023-08-16 17:19:39,2.201s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-16 17:19:39,2023-08-16 17:20:22,42.967s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-16 17:20:22,2023-08-16 17:20:22,0.269s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-16 17:20:22,2023-08-16 17:20:23,0.612s,PASSED
"callTestCase(findTestCase(""CommonMethods/login_odtaqab""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:20:23,2023-08-16 17:21:22,58.820s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SLProduct], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:21:22,2023-08-16 17:21:53,31.654s,FAILED
,,,,,,,
Test Cases/Checkout/TS_SMOKE_SUITE_087,Chrome 115.0.0.0,To verify the functionality of adding a new Personal shipping address in OPC flow for logged in user,,2023-08-16 17:21:53,2023-08-16 17:25:46,3m - 52.180s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-16 17:21:54,2023-08-16 17:21:56,2.213s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-16 17:21:56,2023-08-16 17:23:10,1m - 13.690s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-16 17:23:10,2023-08-16 17:23:10,0.318s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-16 17:23:10,2023-08-16 17:23:11,0.895s,PASSED
"callTestCase(findTestCase(""CommonMethods/login_odtaqab""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:23:11,2023-08-16 17:23:55,44.085s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SLProduct], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:23:55,2023-08-16 17:24:43,47.726s,PASSED
"click(findTestObject(""PLPPage/product2_cardPrice_PLP""), OPTIONAL)",Chrome 115.0.0.0,,,2023-08-16 17:24:43,2023-08-16 17:25:01,18.467s,PASSED
"click(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 115.0.0.0,,,2023-08-16 17:25:01,2023-08-16 17:25:12,11.224s,PASSED
"click(findTestObject(""HomePage/bag_header_HP""))",Chrome 115.0.0.0,,,2023-08-16 17:25:12,2023-08-16 17:25:14,1.910s,PASSED
"click(findTestObject(""CartPage/BuyButton_Cart""))",Chrome 115.0.0.0,,,2023-08-16 17:25:14,2023-08-16 17:25:19,4.612s,PASSED
"click(findTestObject(""OPCPage/paymentMethod_change_OPC""), OPTIONAL)",Chrome 115.0.0.0,,,2023-08-16 17:25:19,2023-08-16 17:25:27,8.132s,PASSED
"click(findTestObject(""OPCPage/paymentMethod_button1_OPC""), OPTIONAL)",Chrome 115.0.0.0,,,2023-08-16 17:25:27,2023-08-16 17:25:31,3.564s,PASSED
"setText(findTestObject(""OPCPage/enterCardCVV_OPC""), ""413"", OPTIONAL)",Chrome 115.0.0.0,,,2023-08-16 17:25:31,2023-08-16 17:25:32,0.906s,PASSED
"setText(findTestObject(""OPCPage/enterCardExpire_OPC""), ""1225"", OPTIONAL)",Chrome 115.0.0.0,,,2023-08-16 17:25:32,2023-08-16 17:25:33,0.992s,PASSED
"click(findTestObject(""OPCPage/cardContinue_checkout_popUP""), OPTIONAL)",Chrome 115.0.0.0,,,2023-08-16 17:25:33,2023-08-16 17:25:33,0.531s,PASSED
"click(findTestObject(""OPCPage/Final_comparar_OPC""))",Chrome 115.0.0.0,,,2023-08-16 17:25:33,2023-08-16 17:25:38,4.851s,PASSED
"verifyElementPresent(findTestObject(""OPCPage/ConfirmOrder_Checkout""), 0)",Chrome 115.0.0.0,,,2023-08-16 17:25:38,2023-08-16 17:25:45,6.825s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-16 17:25:45,2023-08-16 17:25:46,0.774s,PASSED
,,,,,,,
Test Cases/Checkout/TS_SMOKE_SUITE_088,Chrome 115.0.0.0,To verify the functionality of adding a new Personal shipping address in OPC flow for logged in user,,2023-08-16 17:25:46,2023-08-16 17:29:09,3m - 23.006s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-16 17:25:46,2023-08-16 17:25:47,1.431s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-16 17:25:47,2023-08-16 17:26:34,46.876s,PASSED
