Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AccountManagement,Chrome 115.0.0.0,,,2023-08-17 12:03:13,2023-08-17 12:25:31,22m - 18.022s,ERROR
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_016,Chrome 115.0.0.0,To Verify logged in user is able to view the profile inforamtion from Actualizar datos personales link in my account page after Updating personal information,,2023-08-17 12:03:13,2023-08-17 12:05:22,2m - 9.408s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 12:03:13,2023-08-17 12:03:16,2.797s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 12:03:16,2023-08-17 12:04:51,1m - 34.340s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 12:04:51,2023-08-17 12:04:51,0.181s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-17 12:04:51,2023-08-17 12:05:22,31.653s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_017,Chrome 115.0.0.0,Verify the user able to add new Personal shipping address,,2023-08-17 12:05:22,2023-08-17 12:15:37,10m - 14.690s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 12:05:23,2023-08-17 12:05:25,2.357s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 12:05:25,2023-08-17 12:07:38,2m - 12.735s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 12:07:38,2023-08-17 12:07:38,0.232s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-17 12:07:38,2023-08-17 12:07:39,0.953s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-17 12:07:39,2023-08-17 12:09:44,2m - 4.925s,PASSED
"mouseOver(findTestObject(""HomePage/AfterLogin_Homepage""))",Chrome 115.0.0.0,,,2023-08-17 12:09:44,2023-08-17 12:14:56,5m - 12.079s,PASSED
"click(findTestObject(""AccountManagement/MyAccountButton_Account""))",Chrome 115.0.0.0,,,2023-08-17 12:14:56,2023-08-17 12:14:57,0.548s,PASSED
"click(findTestObject(""AccountManagement/DeliveryAddress_Account""))",Chrome 115.0.0.0,,,2023-08-17 12:14:57,2023-08-17 12:15:06,9.015s,PASSED
"click(findTestObject(""OPCPage/AddAddressButtonPopup_checkout""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-17 12:15:06,2023-08-17 12:15:37,31.331s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_018,Chrome 115.0.0.0,Verify the user able to add new Click & Collect address address,,2023-08-17 12:15:37,2023-08-17 12:20:09,4m - 32.175s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-17 12:15:38,2023-08-17 12:15:40,2.379s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-17 12:15:40,2023-08-17 12:17:21,1m - 40.579s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-17 12:17:21,2023-08-17 12:17:21,0.214s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-17 12:17:21,2023-08-17 12:17:22,1.045s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-17 12:17:22,2023-08-17 12:19:15,1m - 53.135s,PASSED
