Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
total_smokeSuit,,,,2023-08-18 09:42:51,2023-08-18 09:45:01,2m - 10.189s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_016,,To Verify logged in user is able to view the profile inforamtion from Actualizar datos personales link in my account page after Updating personal information,,2023-08-18 09:42:52,2023-08-18 09:43:00,7.943s,FAILED
"openBrowser("""")",,,,2023-08-18 09:42:53,2023-08-18 09:43:00,6.179s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_017,,Verify the user able to add new Personal shipping address,,2023-08-18 09:43:00,2023-08-18 09:43:04,4.078s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:00,2023-08-18 09:43:04,3.576s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_018,,Verify the user able to add new Click & Collect address address,,2023-08-18 09:43:04,2023-08-18 09:43:07,3.165s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:04,2023-08-18 09:43:07,2.428s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_019,,Verify the last added Store address is displayed in the top section as a priority,,2023-08-18 09:43:07,2023-08-18 09:43:10,2.947s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:07,2023-08-18 09:43:10,2.443s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_020,,Verify if the user able to make C&C store address as default address,,2023-08-18 09:43:10,2023-08-18 09:43:12,2.488s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:10,2023-08-18 09:43:12,2.033s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_021,,Verify the user is able to navigate to forma de pago page and view the payment menthods,,2023-08-18 09:43:12,2023-08-18 09:43:15,2.445s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:13,2023-08-18 09:43:15,1.688s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_022,,Verify the user able to update the payment methods as default in forma de pago page,,2023-08-18 09:43:15,2023-08-18 09:43:18,3.474s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:16,2023-08-18 09:43:18,2.349s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_023,,"To Verify Logged in user is able to Add ,Edit and remove  credit card from my account from my account",,2023-08-18 09:43:18,2023-08-18 09:43:21,3.051s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:19,2023-08-18 09:43:21,2.295s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_024,,"To Verify Logged in user is able to add, Edit and Remove the delivery address from my account",,2023-08-18 09:43:21,2023-08-18 09:43:24,3.075s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:22,2023-08-18 09:43:24,2.475s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_025,,To Verify Logged in user is able to change the password,,2023-08-18 09:43:24,2023-08-18 09:43:27,2.410s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:25,2023-08-18 09:43:27,1.978s,FAILED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_055,,To verify the display of product price range on PDP page for multi sku item.,,2023-08-18 09:43:27,2023-08-18 09:43:30,3.030s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:27,2023-08-18 09:43:30,2.525s,FAILED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_057,,To verify the display of PDP for multi  sku item,,2023-08-18 09:43:30,2023-08-18 09:43:33,3.015s,FAILED
"openBrowser("""")",,,,2023-08-18 09:43:30,2023-08-18 09:43:33,2.549s,FAILED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_058,,"To verify the display of Description slot in PDP with following tabs. 

Long Description
Manual
Delivery Details
Size/Dimensions
LP Card Promotion
Other Card Promotion",,2023-08-18 09:43:33,2023-08-18 09:43:36,2.857s,FAILED
