Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite_AllModules,Chrome 116.0.0.0,,,2023-08-21 10:18:36,2023-08-21 12:08:21,1h - 49m - 44.972s,ERROR
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_016,Chrome 116.0.0.0,To Verify logged in user is able to view the profile inforamtion from Actualizar datos personales link in my account page after Updating personal information,,2023-08-21 10:18:37,2023-08-21 10:20:58,2m - 21.867s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:18:37,2023-08-21 10:18:40,2.742s,PASSED
navigateToUrl(URL),Chrome 116.0.0.0,,,2023-08-21 10:18:40,2023-08-21 10:19:34,54.452s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-21 10:19:34,2023-08-21 10:19:34,0.241s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 116.0.0.0,,,2023-08-21 10:19:34,2023-08-21 10:19:35,0.564s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-08-21 10:19:35,2023-08-21 10:20:14,38.625s,PASSED
delay(5),Chrome 116.0.0.0,,,2023-08-21 10:20:14,2023-08-21 10:20:19,5.006s,PASSED
"mouseOver(findTestObject(""HomePage/AfterLogin_Homepage""))",Chrome 116.0.0.0,,,2023-08-21 10:20:19,2023-08-21 10:20:50,31.591s,PASSED
"click(findTestObject(""AccountManagement/MyAccountButton_Account""))",Chrome 116.0.0.0,,,2023-08-21 10:20:50,2023-08-21 10:20:51,0.547s,PASSED
"click(findTestObject(""AccountManagement/UpdatePeronalData_Account""))",Chrome 116.0.0.0,,,2023-08-21 10:20:51,2023-08-21 10:20:56,5.045s,PASSED
"verifyElementPresent(findTestObject(""AccountManagement/updatePage_Account""), 0)",Chrome 116.0.0.0,,,2023-08-21 10:20:56,2023-08-21 10:20:58,2.433s,PASSED
name = customkeywords.myKeywords.randomString(),Chrome 116.0.0.0,,,2023-08-21 10:20:58,2023-08-21 10:20:58,0.030s,PASSED
"setText(findTestObject(""AccountManagement/UpdatePeronalData_Account""), name)",Chrome 116.0.0.0,,,2023-08-21 10:20:58,2023-08-21 10:20:58,0.195s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_017,Chrome 116.0.0.0,Verify the user able to add new Personal shipping address,,2023-08-21 10:20:58,2023-08-21 10:23:54,2m - 55.305s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:20:59,2023-08-21 10:21:01,2.201s,PASSED
navigateToUrl(URL),Chrome 116.0.0.0,,,2023-08-21 10:21:01,2023-08-21 10:22:11,1m - 10.419s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-21 10:22:11,2023-08-21 10:22:12,0.201s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 116.0.0.0,,,2023-08-21 10:22:12,2023-08-21 10:22:13,1.027s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-08-21 10:22:13,2023-08-21 10:22:34,21.272s,PASSED
"mouseOver(findTestObject(""HomePage/AfterLogin_Homepage""))",Chrome 116.0.0.0,,,2023-08-21 10:22:34,2023-08-21 10:23:15,41.035s,PASSED
"click(findTestObject(""AccountManagement/MyAccountButton_Account""))",Chrome 116.0.0.0,,,2023-08-21 10:23:15,2023-08-21 10:23:15,0.532s,PASSED
"click(findTestObject(""AccountManagement/DeliveryAddress_Account""))",Chrome 116.0.0.0,,,2023-08-21 10:23:15,2023-08-21 10:23:22,7.036s,PASSED
"click(findTestObject(""OPCPage/AddAddressButtonPopup_checkout""), STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-08-21 10:23:22,2023-08-21 10:23:54,31.285s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_018,Chrome 116.0.0.0,Verify the user able to add new Click & Collect address address,,2023-08-21 10:23:54,2023-08-21 10:26:53,2m - 59.457s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:23:54,2023-08-21 10:23:57,2.281s,PASSED
navigateToUrl(URL),Chrome 116.0.0.0,,,2023-08-21 10:23:57,2023-08-21 10:24:44,47.870s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-21 10:24:44,2023-08-21 10:24:45,0.202s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 116.0.0.0,,,2023-08-21 10:24:45,2023-08-21 10:24:45,0.493s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-08-21 10:24:45,2023-08-21 10:25:24,38.763s,PASSED
"mouseOver(findTestObject(""HomePage/AfterLogin_Homepage""))",Chrome 116.0.0.0,,,2023-08-21 10:25:24,2023-08-21 10:26:08,43.815s,PASSED
"click(findTestObject(""AccountManagement/MyAccountButton_Account""))",Chrome 116.0.0.0,,,2023-08-21 10:26:08,2023-08-21 10:26:08,0.557s,PASSED
"click(findTestObject(""AccountManagement/DeliveryAddress_Account""))",Chrome 116.0.0.0,,,2023-08-21 10:26:08,2023-08-21 10:26:13,5.221s,PASSED
"click(findTestObject(""AccountManagement/ClickAndCollectStores_accounts""))",Chrome 116.0.0.0,,,2023-08-21 10:26:13,2023-08-21 10:26:21,7.566s,PASSED
"click(findTestObject(""AccountManagement/SelectStateClickNCollection_Account""))",Chrome 116.0.0.0,,,2023-08-21 10:26:21,2023-08-21 10:26:53,32.188s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_019,Chrome 116.0.0.0,Verify the last added Store address is displayed in the top section as a priority,,2023-08-21 10:26:53,2023-08-21 10:28:26,1m - 32.730s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:26:54,2023-08-21 10:27:00,6.075s,PASSED
navigateToUrl(URL),Chrome 116.0.0.0,,,2023-08-21 10:27:00,2023-08-21 10:27:45,44.801s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-21 10:27:45,2023-08-21 10:27:45,0.280s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 116.0.0.0,,,2023-08-21 10:27:45,2023-08-21 10:27:46,0.956s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-08-21 10:27:46,2023-08-21 10:28:25,39.287s,PASSED
"mouseOver(findTestObject(""HomePage/AfterLogin_Homepage""))",Chrome 116.0.0.0,,,2023-08-21 10:28:25,2023-08-21 10:28:26,0.900s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_020,Chrome 116.0.0.0,Verify if the user able to make C&C store address as default address,,2023-08-21 10:28:26,2023-08-21 10:28:28,2.231s,ERROR
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:28:26,2023-08-21 10:28:28,1.946s,PASSED
navigateToUrl(LiverpoolURL),Chrome 116.0.0.0,,,2023-08-21 10:28:28,2023-08-21 10:28:28,0.005s,ERROR
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_021,Chrome 116.0.0.0,Verify the user is able to navigate to forma de pago page and view the payment menthods,,2023-08-21 10:28:28,2023-08-21 10:28:30,2.229s,ERROR
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:28:28,2023-08-21 10:28:30,1.972s,PASSED
navigateToUrl(LiverpoolURL),Chrome 116.0.0.0,,,2023-08-21 10:28:30,2023-08-21 10:28:30,0.002s,ERROR
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_022,Chrome 116.0.0.0,Verify the user able to update the payment methods as default in forma de pago page,,2023-08-21 10:28:30,2023-08-21 10:28:33,2.330s,ERROR
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:28:31,2023-08-21 10:28:33,2.014s,PASSED
navigateToUrl(LiverpoolURL),Chrome 116.0.0.0,,,2023-08-21 10:28:33,2023-08-21 10:28:33,0.002s,ERROR
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_023,Chrome 116.0.0.0,"To Verify Logged in user is able to Add ,Edit and remove  credit card from my account from my account",,2023-08-21 10:28:33,2023-08-21 10:28:35,2.275s,ERROR
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:28:33,2023-08-21 10:28:35,1.940s,PASSED
navigateToUrl(LiverpoolURL),Chrome 116.0.0.0,,,2023-08-21 10:28:35,2023-08-21 10:28:35,0.004s,ERROR
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_024,Chrome 116.0.0.0,"To Verify Logged in user is able to add, Edit and Remove the delivery address from my account",,2023-08-21 10:28:35,2023-08-21 10:28:37,2.332s,ERROR
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:28:35,2023-08-21 10:28:37,2.018s,PASSED
navigateToUrl(LiverpoolURL),Chrome 116.0.0.0,,,2023-08-21 10:28:37,2023-08-21 10:28:37,0.002s,ERROR
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_025,Chrome 116.0.0.0,To Verify Logged in user is able to change the password,,2023-08-21 10:28:37,2023-08-21 10:28:40,2.313s,ERROR
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:28:38,2023-08-21 10:28:40,2.026s,PASSED
navigateToUrl(LiverpoolURL),Chrome 116.0.0.0,,,2023-08-21 10:28:40,2023-08-21 10:28:40,0.003s,ERROR
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_039,Chrome 116.0.0.0,To verify that the breadcrumbs are clickable when user has landed on L1 category page.,,2023-08-21 10:28:40,2023-08-21 10:29:56,1m - 15.898s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:28:40,2023-08-21 10:28:42,1.989s,PASSED
navigateToUrl(URL),Chrome 116.0.0.0,,,2023-08-21 10:28:42,2023-08-21 10:29:35,53.181s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-21 10:29:35,2023-08-21 10:29:36,0.237s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-08-21 10:29:36,2023-08-21 10:29:37,1.148s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""), STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-08-21 10:29:37,2023-08-21 10:29:37,0.579s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 116.0.0.0,,,2023-08-21 10:29:37,2023-08-21 10:29:54,17.234s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-21 10:29:54,2023-08-21 10:29:56,1.192s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-21 10:29:56,2023-08-21 10:29:56,0.004s,PASSED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_047,Chrome 116.0.0.0,To verify the display of facets on the item listing page,,2023-08-21 10:29:56,2023-08-21 10:31:17,1m - 20.850s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-21 10:29:56,2023-08-21 10:29:57,1.309s,PASSED
navigateToUrl(URL),Chrome 116.0.0.0,,,2023-08-21 10:29:57,2023-08-21 10:30:42,44.336s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-21 10:30:42,2023-08-21 10:30:42,0.424s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-08-21 10:30:42,2023-08-21 10:30:43,0.923s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""), STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-08-21 10:30:43,2023-08-21 10:30:43,0.528s,PASSED
