Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ShopingCart,Chrome 116.0.0.0,,,2023-09-04 08:50:55,2023-09-04 09:01:07,10m - 12.647s,FAILED
,,,,,,,
Test Cases/ShoppingCart/TS_SMOKE_SUITE_026,Chrome 116.0.0.0,"To verify that for Anonymous user system display the Login overlay after clicking on the ""Pagar"" button during checkout",,2023-09-04 08:51:43,2023-09-04 08:54:52,3m - 9.127s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 116.0.0.0,,,2023-09-04 08:51:43,2023-09-04 08:51:56,13.755s,PASSED
"callTestCase(findTestCase(""CommonMethods/logout""), [:], OPTIONAL)",Chrome 116.0.0.0,,,2023-09-04 08:51:57,2023-09-04 08:53:02,1m - 5.766s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 116.0.0.0,,,2023-09-04 08:53:02,2023-09-04 08:53:03,0.502s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":AMUsername, ""password"":AMpassword], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-04 08:53:03,2023-09-04 08:53:20,16.750s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SL], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-04 08:53:20,2023-09-04 08:53:40,20.074s,PASSED
waitForPageLoad(0),Chrome 116.0.0.0,,,2023-09-04 08:53:40,2023-09-04 08:53:40,0.141s,PASSED
"click(findTestObject(""HomePage/FirstProduct_plp""))",Chrome 116.0.0.0,,,2023-09-04 08:53:40,2023-09-04 08:53:50,9.695s,PASSED
"click(findTestObject(""PDPPage/AddToCart_pdp""))",Chrome 116.0.0.0,,,2023-09-04 08:53:50,2023-09-04 08:54:11,21.845s,PASSED
"click(findTestObject(""PLPPage/ProtectYourPurchase_plp""))",Chrome 116.0.0.0,,,2023-09-04 08:54:11,2023-09-04 08:54:11,0.001s,NOT_RUN
"click(findTestObject(""HomePage/Cart_header""))",Chrome 116.0.0.0,,,2023-09-04 08:54:11,2023-09-04 08:54:15,3.982s,PASSED
"click(findTestObject(""CartPage/BuyButton_Cart""))",Chrome 116.0.0.0,,,2023-09-04 08:54:15,2023-09-04 08:54:20,4.567s,PASSED
"verifyElementPresent(findTestObject(""HomePage/LoginPage_hp""), 0)",Chrome 116.0.0.0,,,2023-09-04 08:54:20,2023-09-04 08:54:52,31.626s,FAILED
,,,,,,,
Test Cases/ShoppingCart/TS_SMOKE_SUITE_027,Chrome 116.0.0.0,To verify that the user is able to create account from shopping cart page,,2023-09-04 08:54:52,2023-09-04 08:56:06,1m - 14.244s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 116.0.0.0,,,2023-09-04 08:54:52,2023-09-04 08:55:01,9.805s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SL], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-04 08:55:02,2023-09-04 08:55:10,7.953s,PASSED
waitForPageLoad(0),Chrome 116.0.0.0,,,2023-09-04 08:55:10,2023-09-04 08:55:10,0.030s,PASSED
"click(findTestObject(""HomePage/FirstProduct_plp""))",Chrome 116.0.0.0,,,2023-09-04 08:55:10,2023-09-04 08:55:18,8.221s,PASSED
"click(findTestObject(""PDPPage/AddToCart_pdp""))",Chrome 116.0.0.0,,,2023-09-04 08:55:18,2023-09-04 08:55:28,9.770s,PASSED
"click(findTestObject(""PLPPage/ProtectYourPurchase_plp""))",Chrome 116.0.0.0,,,2023-09-04 08:55:28,2023-09-04 08:55:28,0.002s,NOT_RUN
"click(findTestObject(""HomePage/Cart_header""))",Chrome 116.0.0.0,,,2023-09-04 08:55:28,2023-09-04 08:55:32,4.187s,PASSED
"click(findTestObject(""CartPage/BuyButton_Cart""))",Chrome 116.0.0.0,,,2023-09-04 08:55:32,2023-09-04 08:55:34,2.390s,PASSED
"verifyElementPresent(findTestObject(""HomePage/LoginPage_hp""), 0)",Chrome 116.0.0.0,,,2023-09-04 08:55:34,2023-09-04 08:56:06,31.550s,FAILED
,,,,,,,
Test Cases/ShoppingCart/TS_SMOKE_SUITE_028,Chrome 116.0.0.0,To verify that user is able to login from Shopping Cart page,,2023-09-04 08:56:06,2023-09-04 08:57:25,1m - 18.855s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 116.0.0.0,,,2023-09-04 08:56:06,2023-09-04 08:56:17,11.328s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SL], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-04 08:56:18,2023-09-04 08:56:25,7.748s,PASSED
waitForPageLoad(0),Chrome 116.0.0.0,,,2023-09-04 08:56:25,2023-09-04 08:56:25,0.026s,PASSED
"click(findTestObject(""HomePage/FirstProduct_plp""))",Chrome 116.0.0.0,,,2023-09-04 08:56:25,2023-09-04 08:56:34,8.363s,PASSED
"click(findTestObject(""PDPPage/AddToCart_pdp""))",Chrome 116.0.0.0,,,2023-09-04 08:56:34,2023-09-04 08:56:47,13.203s,PASSED
